ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAH4212	SpeedVacFloatDialysis	HG002	232777	214334	0	3098.73	128143	52580	22045	10621	5780	3496	2319	1579	1139	846	678	494	378	331	285	223	208	25712	20930	16511	12206	8630	5751	3996	2644	1846	1136	
FAH47304	BackToBasics	HG002	41256	37703	0	10388.8	18800	7225	4057	2495	1710	1221	968	807	548	499	380	350	266	230	213	160	132	4608	3708	2906	2184	1501	995	713	426	269	185	
FAH47349	HG002_pcia_mar12	HG002	14160	12782	0	11276.5	7242	2223	1114	709	499	413	300	233	192	134	117	117	100	76	79	47	54	1349	1074	858	584	457	280	174	129	85	64	
FAH47366	HG002_pcia_1_mar12	HG002	33907	30525	0	3384.53	19433	7401	2844	1359	718	463	307	215	177	151	100	96	68	66	45	40	34	4048	3201	2504	1891	1301	819	555	385	242	177	
FAH47382	BackToBasics2	HG002	192085	165824	0	4154.84	109836	36948	15683	8296	5179	3396	2433	1699	1354	1051	885	726	567	495	433	360	295	22771	18666	15048	11643	8192	5500	3683	2402	1482	904	
FAH55610	GM24385_B2_run1	HG002	106482	77973	0	15115.9	56184	12926	7065	4504	3328	2636	2205	1733	1618	1303	1187	1027	882	817	737	670	611	9162	6887	5510	3882	3007	2058	1604	1222	989	819	
FAH55699	GM24385_B2_run3	HG002	61470	38663	0	13433.9	34326	7312	3918	2363	1734	1355	1094	936	761	717	597	532	498	423	393	356	318	5088	3939	3116	2336	1696	1282	1052	817	618	557	
FAH55699_FAK19060	GM24385_B2_run3_4	HG002	52278	39785	0	17032.9	26604	5794	3643	2187	1574	1219	1050	900	767	653	589	523	513	451	377	385	310	3959	3094	2494	1771	1360	962	796	653	532	449	
FAH55745	GM24385_Run1	HG002	74702	69004	0	14719.6	35772	11666	6913	4275	3052	2225	1654	1279	1093	853	741	573	487	408	349	341	264	7202	5378	3911	2846	1865	1274	872	604	412	261	
FAH55746	GM24385_Run2	HG002	167459	158348	0	11179.7	80496	28716	16123	10319	6779	4886	3608	2795	2127	1671	1412	1081	965	822	653	552	471	17417	12962	9969	6943	4893	3226	2118	1401	964	626	
FAH55747	GM24385_Run4	HG002	147690	133721	0	14594.5	70207	24000	13850	8765	6096	4524	3372	2698	2116	1755	1446	1160	1001	826	689	616	544	15297	11029	8085	5808	3878	2491	1680	1104	740	517	
FAH58844	GM24385_B2_run2	HG002	102453	73251	0	13490.5	53959	13258	7179	4520	3225	2455	2000	1704	1466	1199	1049	916	858	785	656	597	532	9109	7205	5602	3922	3128	2106	1726	1271	1020	809	
FAH59421	GM24385_UB_Run9	HG002	48955	45016	0	3739.54	28176	10583	4296	2010	1130	683	468	335	257	177	172	111	95	66	59	51	45	5382	4185	3111	2298	1619	1027	682	468	304	216	
FAH86463	NoDip_rerun3	HG002	403305	381347	0	6181.52	213941	73431	36849	21439	13807	9125	6501	4874	3726	2881	2322	1839	1452	1214	1081	836	779	41974	33235	26803	20458	14527	10050	7068	4738	3149	2053	
FAH86477	GM24385_UB_Run6	HG002	64194	44987	0	13354.8	36513	6794	3983	2326	1723	1417	1087	933	849	700	604	548	525	459	422	412	364	5101	4326	3640	2459	1908	1242	978	825	654	594	
FAH86511	high_precip	HG002	101244	92378	0	17335.4	44276	15181	9030	5644	3914	3055	2462	2045	1677	1419	1194	1032	896	769	745	679	552	10145	7625	5714	4088	2758	1835	1255	763	576	311	
FAH86787	GM24385_UB_Run5	HG002	74235	59312	0	14168.2	38653	9802	5601	3335	2433	1688	1487	1183	935	816	724	668	556	560	528	452	426	6593	5511	4651	2932	2151	1345	1049	730	545	496	
